[2016-08-07 09:19:18] general.INFO: test inside c [] []
[2016-08-07 09:20:01] general.INFO: test [] []
[2016-08-07 09:20:56] general.INFO: test string NULL [] []
[2016-08-07 09:21:58] general.INFO: test string NULL [] []
[2016-08-07 09:22:40] general.INFO: test string string [] []
[2016-08-07 09:22:44] general.INFO: test string string [] []
[2016-08-07 09:23:05] general.INFO: test string string [] []
[2016-08-07 09:23:06] general.INFO: test string string [] []
[2016-08-07 09:23:08] general.INFO: test string string [] []
[2016-08-07 09:23:09] general.INFO: test string string [] []
[2016-08-07 09:23:42] general.INFO: test string string [] []
[2016-08-07 09:23:43] general.INFO: test string string [] []
[2016-08-07 09:24:00] general.INFO: test string string [] []
[2016-08-07 09:24:01] general.INFO: test string string [] []
[2016-08-07 09:25:38] general.INFO: test string string [] []
[2016-08-07 09:25:41] general.INFO: test string string [] []
[2016-08-07 09:29:39] general.INFO: test string string [] []
[2016-08-07 09:29:42] general.INFO: test string string [] []
[2016-08-07 09:29:54] general.INFO: test string string [] []
[2016-08-07 09:29:57] general.INFO: test string string [] []
